"Air.Pressure..Hecta.pascals." "Air.temp..deg.celcius." "Humidity...." "maximum.Wind.speed..km.h." "water.pressure..decibar." "water.temp..deg.celcius."
"1" 1007.7 28 77.2 41.04 6.439 29.5429
"2" 1012.4 25.2 73.4 44.28 6.466 27.8346
"3" 1012.1 25 76.3 37.8 6.499 27.4041
"4" 1007.4 28 74.5 39.6 5.934 29.1901
"5" 1010.6 28 80.6 28.8 5.258 28.9938
"6" 1008.4 28 78.4 37.08 6.59 29.3403
"7" 1006.5 26.6 82.4 42.84 5.714 28.9521
"8" 1002.6 27 81.1 18.36 5.74 29.3537
"9" 1012.3 27.3 79 37.44 7.288 29.0103
"10" 1012.1 23.3 87.1 48.24 5.251 28.0148
"11" 1010.9 26.5 82.9 44.64 6.26 29.0302
"12" 1007.7 26 86.5 40.68 6.247 29.7791
"13" 1011.3 26.9 70.9 29.88 6.685 29.4894
"14" 1008.6 27.9 72.7 38.52 6.723 29.2292
"15" 1011.1 26.8 83 23.4 6.078 29.0235
"16" 1006.6 28.2 78.7 15.48 5.876 29.6072
"17" 1005.7 27.9 75.2 10.08 7.611 28.5954
"18" 1013.8 24.7 82.3 24.48 7.048 28.0349
"19" 1007.5 29 78.7 40.32 5.545 29.2468
"20" 1005.8 28.7 74.8 23.04 5.638 28.9448
"21" 1008.6 27 74.2 41.76 6.14 29.0041
"22" 1010.1 28.7 79.1 41.4 5.602 29.5091
"23" 1009.4 26.4 83.4 42.12 6.09 28.7423
"24" 1009 27.7 68.8 46.8 5.797 29.6983
"25" 1014.6 24.6 82 26.64 6.505 28.0976
"26" 1002.9 28.1 72.4 40.68 5.68 29.383
"27" 1013 25.2 75.5 34.56 7.166 27.8993
"28" 1013.7 25.3 77.6 37.44 6.441 27.2631
"29" 1010 28.9 75.5 44.64 5.894 29.4248
"30" 1009.3 26 86.9 44.28 5.894 28.8352
"31" 1013.6 25 70.4 38.16 7.29 28.301
"32" 1012.6 25.7 84.5 38.16 6.786 27.6642
"33" 1009.2 25.7 77.2 37.08 5.862 28.7242
"34" 1010.7 26.3 85.7 24.84 6.887 29.7049
"35" 1013.6 25.1 69.2 33.12 5.64 28.3842
"36" 1011.4 25.9 83 39.6 6.008 27.6466
"37" 1012.9 27.1 73.6 40.32 6.594 29.4161
"38" 1008.4 29 77.7 28.08 7.055 28.7696
"39" 1012.5 27.3 78 38.52 7.362 29.0372
"40" 1007.3 27.2 85 10.44 6.214 29.14
"41" 1011.5 25 77 40.32 6.306 27.4373
"42" 1008.6 27.1 72.3 44.64 5.806 29.133
"43" 1015.2 25.5 69.9 46.08 4.751 28.3824
"44" 1005.9 28.2 78.7 14.04 6.07 29.4562
"45" 1004.2 28.3 78 30.6 6.554 29.2581
"46" 1010.2 26.2 82.4 46.44 7.027 28.7974
"47" 1005 28.1 75.9 27.72 5.791 28.8044
"48" 1012.2 25.9 83 41.4 6.065 27.7251
"49" 1013.1 26 82.3 39.6 5.518 27.9673
"50" 1008.6 25.9 84.3 44.64 5.946 29.0549
"51" 1007.5 27.5 79.7 31.32 6.312 28.9945
"52" 1006.7 25.6 83.3 14.04 5.401 28.839
"53" 1011.4 25.6 75.6 38.52 7.042 28.0164
"54" 1012.4 25.5 75.4 34.56 6.01 28.4295
"55" 1009.6 26.8 79.3 26.28 5.527 29.1704
"56" 1011.3 26.7 82 41.4 6.999 29.1334
"57" 1005.9 28.5 78 38.16 5.821 29.4701
"58" 1011.8 26.6 76.2 38.16 7.128 29.1197
"59" 1008.2 27.5 83.1 19.8 5.929 29.2535
"60" 1009 28.3 69.1 14.04 5.773 28.578
"61" 1012.9 27.3 71 36.36 4.94 29.7972
"62" 1010.2 27.3 71.4 44.64 5.66 29.4494
"63" 1014 24.9 76.2 37.8 6.513 27.6006
"64" 1012.2 27 72.8 36.72 5.894 29.3774
"65" 1009.5 26 75.6 43.92 6.418 28.6646
"66" 1009.4 27.8 78.4 47.88 5.9 29.41
"67" 1007.7 27.4 77.3 6.48 6.106 28.6379
"68" 1010.1 26.5 74.2 24.48 5.345 29.4544
"69" 1005.7 28.4 74.1 28.8 7.056 29.4192
"70" 1010.4 26.6 71.8 26.28 6.456 29.4446
"71" 1014.7 25 67.1 37.8 5.018 28.4489
"72" 1009.2 28.3 78.6 30.24 7.05 29.3254
"73" 1011.4 27 73.2 27 6.197 29.1479
"74" 1010.5 27.1 83.1 45 6.239 28.8175
"75" 1014.1 25.2 78.9 37.08 6.258 27.8932
